Person_ID,Gender,Age,Age_Group,Education,Occupation,Monthly_Income,Place
JMD00001,Male,25,Young,Uneducated,Student,4159,Jamaldi
JMD00002,Female,32,Mid-aged,Uneducated,Businessman,26981,Jamaldi
JMD00003,Male,47,Old,Educated,Businessman,20845,Jamaldi
JMD00004,Female,7,Children,Uneducated,Student,0,Jamaldi
JMD00005,Male,57,Old,Educated,Businessman,28431,Jamaldi
JMD00006,Female,24,Young,Educated,Employee,17518,Jamaldi
JMD00007,Female,23,Young,Uneducated,Employee,17236,Jamaldi
JMD00008,Male,39,Mid-aged,Educated,Farmer,23355,Jamaldi
JMD00009,Female,30,Mid-aged,Uneducated,Businessman,26923,Jamaldi
JMD00010,Female,24,Young,Educated,Student,871,Jamaldi
JMD00011,Female,60,Old,Educated,Businessman,16163,Jamaldi
JMD00012,Female,18,Young,Uneducated,Student,5045,Jamaldi
JMD00013,Female,38,Mid-aged,Educated,Businessman,18697,Jamaldi
JMD00014,Female,56,Old,Uneducated,Businessman,13700,Jamaldi
JMD00015,Male,7,Children,Educated,Student,0,Jamaldi
JMD00016,Male,25,Young,Uneducated,Student,2603,Jamaldi
JMD00017,Male,10,Children,Educated,Student,0,Jamaldi
JMD00018,Female,39,Mid-aged,Uneducated,Employee,34847,Jamaldi
JMD00019,Female,27,Mid-aged,Educated,Businessman,37398,Jamaldi
JMD00020,Male,19,Young,Uneducated,Employee,16913,Jamaldi
JMD00021,Male,18,Young,Uneducated,Student,285,Jamaldi
JMD00022,Male,16,Young,Educated,Employee,15949,Jamaldi
JMD00023,Female,0,Children,Uneducated,Student,0,Jamaldi
JMD00024,Male,28,Mid-aged,Uneducated,Farmer,11114,Jamaldi
JMD00025,Female,35,Mid-aged,Educated,Employee,17049,Jamaldi
JMD00026,Male,8,Children,Educated,Student,0,Jamaldi
JMD00027,Male,30,Mid-aged,Educated,Businessman,14701,Jamaldi
JMD00028,Female,43,Old,Uneducated,Businessman,13111,Jamaldi
JMD00029,Male,21,Young,Educated,Employee,21124,Jamaldi
JMD00030,Male,25,Young,Uneducated,Employee,21869,Jamaldi
JMD00031,Male,14,Young,Educated,Employee,15363,Jamaldi
JMD00032,Female,23,Young,Educated,Employee,20466,Jamaldi
JMD00033,Female,40,Mid-aged,Educated,Businessman,14865,Jamaldi
JMD00034,Male,39,Mid-aged,Educated,Farmer,12756,Jamaldi
JMD00035,Female,55,Old,Uneducated,Businessman,17308,Jamaldi
JMD00036,Male,32,Mid-aged,Educated,Businessman,31051,Jamaldi
JMD00037,Male,17,Young,Uneducated,Employee,21946,Jamaldi
JMD00038,Female,7,Children,Uneducated,Student,0,Jamaldi
JMD00039,Female,47,Old,Educated,Businessman,18342,Jamaldi
JMD00040,Male,10,Children,Educated,Student,0,Jamaldi
JMD00041,Female,30,Mid-aged,Educated,Employee,38074,Jamaldi
JMD00042,Male,23,Young,Educated,Employee,21174,Jamaldi
JMD00043,Female,12,Children,Uneducated,Student,0,Jamaldi
JMD00044,Male,5,Children,Uneducated,Student,0,Jamaldi
JMD00045,Female,26,Mid-aged,Educated,Employee,17569,Jamaldi
JMD00046,Female,61,Old,Uneducated,Farmer,23669,Jamaldi
JMD00047,Male,41,Old,Uneducated,Farmer,28477,Jamaldi
JMD00048,Female,37,Mid-aged,Educated,Businessman,26527,Jamaldi
JMD00049,Female,3,Children,Uneducated,Student,0,Jamaldi
JMD00050,Female,23,Young,Educated,Employee,20780,Jamaldi
JMD00051,Female,36,Mid-aged,Educated,Employee,13738,Jamaldi
JMD00052,Female,63,Old,Educated,Farmer,16583,Jamaldi
JMD00053,Male,64,Old,Educated,Farmer,24458,Jamaldi
JMD00054,Female,9,Children,Educated,Student,0,Jamaldi
JMD00055,Male,7,Children,Uneducated,Student,0,Jamaldi
JMD00056,Female,2,Children,Uneducated,Student,0,Jamaldi
JMD00057,Female,63,Old,Educated,Farmer,24434,Jamaldi
JMD00058,Female,29,Mid-aged,Educated,Farmer,36260,Jamaldi
JMD00059,Male,53,Old,Uneducated,Businessman,25488,Jamaldi
JMD00060,Male,30,Mid-aged,Educated,Businessman,22688,Jamaldi
JMD00061,Female,20,Young,Educated,Employee,18991,Jamaldi
